Run2022C
361297:8320,10/28/22 20:09:25,933,933,396245979.443729401,376030136.770438075
361303:8321,10/29/22 06:03:41,2240,2240,801434426.101787090,763467955.799374700
361318:8322,10/29/22 23:24:17,457,457,195973233.322604328,186720225.866717547
361319:8322,10/30/22 02:23:53,162,162,70810026.840483606,68127834.792651966
361320:8322,10/30/22 03:42:46,382,382,153933602.760776222,147433842.544525594
361333:8324,10/30/22 10:06:23,302,302,125371336.250101835,119553876.356958434
361361:8327,10/31/22 02:35:35,46,46,18411751.557747182,14922627.703408979
361362:8327,10/31/22 02:56:28,31,31,7749770.253014850,6330990.029864590
361363:8327,10/31/22 03:10:21,27,27,11086289.850058874,7933129.931156510
361365:8327,10/31/22 04:28:09,489,489,212917652.279923230,191586282.336150259
361366:8327,10/31/22 07:40:31,201,201,77946932.854972303,73492104.523249090
361400:8330,10/31/22 17:20:30,456,456,192093753.316049725,182377034.472633541
361417:8331,11/01/22 04:24:44,1622,1622,636157086.763615489,608633064.381790161
361443:8333,11/01/22 18:11:32,2274,2274,803395127.134181142,771169125.036621094
361468:8334,11/02/22 11:35:09,1881,1881,735200712.492353559,696631568.765543938
361475:8335,11/03/22 02:17:52,1231,1231,503624973.836005390,480825669.296882749
361512:8342,11/03/22 20:42:36,1537,1537,600887504.160498619,575840390.887264967
361569:8345,11/04/22 21:57:59,564,564,237080691.303564459,226224267.926693290
361573:8345,11/05/22 01:48:33,305,305,127506069.446656391,121532868.839531526
361579:8347,11/05/22 08:31:22,863,863,361010029.955618322,342180649.077034593
361580:8347,11/05/22 14:13:00,422,422,146208965.932280034,140259309.220286995
361957:8385,11/12/22 07:34:53,1163,1163,333436502.973154902,323771435.629189610
361971:8387,11/12/22 17:51:37,2343,2343,838050151.204312444,803779462.287123680
361989:8389,11/13/22 14:16:41,114,114,43820340.275474608,41308701.489149638
361990:8389,11/13/22 15:03:08,204,204,88003175.432589427,84157252.231709644
361994:8389,11/13/22 16:39:23,116,116,50341982.257073537,47399398.827869520
362058:8395,11/14/22 16:00:57,171,171,67178222.314239472,61779812.537768923
362059:8395,11/14/22 17:09:39,63,63,27062699.456178591,25326722.916741855
362060:8395,11/14/22 17:39:17,84,84,36658439.045176730,35048335.653222062
362061:8395,11/14/22 18:16:14,314,314,135800193.874821156,127733369.918253884
362062:8395,11/14/22 20:20:50,207,207,88545937.318222269,83450957.597739652
362063:8395,11/14/22 21:46:25,86,86,34246017.920954540,32763130.716293305
362064:8395,11/14/22 23:15:16,973,973,288038377.453995824,277999080.678422391
362087:8398,11/15/22 12:07:32,145,145,63964822.790871836,60412713.565546162
362091:8398,11/15/22 13:07:33,1418,1418,520131210.729712188,496209918.316765666
362104:8399,11/16/22 01:17:50,115,115,43028023.507396571,41085541.656309746
362105:8399,11/16/22 02:07:18,179,179,76773989.512036979,73123214.338030756
362106:8399,11/16/22 03:21:10,78,78,33380821.260421760,32288450.589647625
362107:8399,11/16/22 03:54:57,785,785,329592029.684341669,313860981.975688756
362148:8401,11/16/22 13:18:54,720,720,303143002.837516248,288720985.058981776
362153:8401,11/16/22 18:05:40,140,140,60888530.467314690,56974818.594722673
362154:8401,11/16/22 19:04:32,784,784,276255421.070925653,264980178.780531406
362159:8402,11/17/22 02:22:26,7,7,1915148.940548757,1662831.834081955
362161:8402,11/17/22 02:36:51,120,120,51050558.649955682,48928734.690276839
362163:8402,11/17/22 03:27:43,65,65,27997266.146380983,26361136.833463136
362166:8402,11/17/22 03:55:09,331,331,142959132.441883236,137306172.785061747
362167:8402,11/17/22 06:08:33,646,646,266380907.932317793,255683412.606111169
Run2022E
359569:8210,09/29/22 14:40:17,83,83,1334993.678269814,1313403.639827010
359571:8210,09/29/22 15:29:19,153,153,2405806.035541832,2348456.277992217
359575:8210,09/29/22 16:41:25,83,83,1285421.873328402,1265173.580101485
359595:8211,09/30/22 00:53:50,273,273,6373334.855724974,6247711.338707660
359597:8211,09/30/22 02:45:13,94,94,2159208.028988433,2132121.300913236
359602:8212,09/30/22 05:24:24,74,74,5897419.096960555,5432577.970712100
